plot,species,dbh_cm,count,browsed,stripped,broken
100,red maple,11.8,1,NA,1,0
100,red maple,16.9,1,NA,0,0
100,red maple,18.7,1,NA,0,0
100,red oak,10,1,NA,0,0
100,red oak,23.6,1,NA,0,0
100,red oak,24.2,1,NA,0,0
100,white pine,9,1,0,0,0
100,white pine,9.2,1,0,0,0
100,white pine,11.2,1,NA,0,0
100,white pine,11.6,1,NA,0,0
100,white pine,13.4,1,NA,0,0
100,white pine,15.5,1,NA,0,0
100,white pine,19.5,1,NA,0,0
100,white pine,22.3,1,NA,0,0
101,black birch,11.5,1,NA,0,0
101,black birch,9.4,1,0,0,0
101,black birch,43.5,1,NA,0,0
101,black birch,34.4,1,NA,0,0
101,red oak,2.5,1,0,0,0
101,red maple,34,1,NA,0,0
101,red maple,17.2,1,NA,0,0
101,white pine,17.2,1,NA,0,0
101,red maple,20.2,1,NA,0,0
101,red maple,18.7,1,NA,0,0
101,red maple,14.4,1,NA,0,0
101,white oak,34.8,1,NA,0,0
102,black birch,NA,1,0,0,0
102,chestnut,NA,1,0,0,0
102,red maple,NA,1,0,0,0
102,white pine,NA,110,0,0,0
102,black birch,2.6,1,0,0,0
102,black birch,8.9,1,NA,0,0
102,black birch,13.7,1,NA,0,0
102,black birch,18.5,1,0,0,0
102,black birch,18.8,1,NA,0,0
102,black birch,20.5,1,NA,0,0
102,black birch,23.9,1,NA,0,0
102,black birch,24,1,NA,0,0
102,black birch,27,1,NA,0,0
102,black birch,34.2,1,NA,0,0
102,black birch,37.3,1,0,0,0
102,chestnut,2.7,1,0,0,0
102,white ash,20.1,1,NA,0,0
102,white ash,21.3,1,NA,0,0
102,white ash,24.5,1,NA,0,0
102,white ash,27,1,NA,0,0
102,white ash,31.8,1,NA,0,0
102,white oak,14.9,1,0,0,0
102,white pine,2.5,1,0,0,0
102,white pine,2.5,1,0,0,0
102,white pine,2.5,1,0,0,0
102,white pine,2.6,1,0,0,0
102,white pine,2.6,1,0,0,0
102,white pine,2.6,1,0,0,0
102,white pine,2.7,2,0,0,0
102,white pine,2.9,1,0,0,0
102,white pine,2.9,1,0,0,0
102,white pine,3,1,0,0,0
102,white pine,3.1,1,0,0,0
102,white pine,3.3,1,0,0,0
102,white pine,3.3,1,0,0,0
102,white pine,3.3,1,0,0,0
102,white pine,3.4,1,0,0,0
102,white pine,3.5,1,0,0,0
102,white pine,3.8,1,0,0,0
102,white pine,4.2,1,0,0,0
102,white pine,4.5,1,0,0,0
102,white pine,4.9,1,0,0,0
102,white pine,6.1,1,0,0,0
102,white pine,6.5,1,0,0,0
102,white pine,6.8,1,0,0,0
102,white pine,7.8,1,0,0,0
102,white pine,8.9,1,0,0,0
102,white pine,9.1,1,0,0,0
102,white pine,9.4,1,0,0,0
102,white pine,20.6,1,NA,0,0
102,yellow birch,12.7,1,0,0,0
103,black birch,NA,1,1,0,0
103,white pine,NA,9,0,0,0
103,witch hazel,NA,3,0,0,0
103,black birch,8.5,1,1,0,0
103,black birch,15,1,NA,0,0
103,black birch,15,1,NA,0,0
103,black birch,15.8,1,NA,0,0
103,black birch,16,1,NA,0,0
103,black birch,16.8,1,NA,0,0
103,black birch,19.3,1,NA,0,0
103,black birch,19.4,1,NA,0,0
103,black birch,19.6,1,NA,0,0
103,black birch,20,1,NA,0,0
103,black birch,20.1,1,NA,0,0
103,black birch,20.6,1,NA,0,0
103,black oak,32.2,1,NA,0,0
103,red maple,3.4,1,0,0,0
103,red maple,3.4,1,0,0,0
103,red maple,5.2,1,0,0,0
103,red maple,6.5,1,NA,0,0
103,red maple,8.2,1,NA,0,0
103,red maple,10.8,1,NA,0,0
103,red maple,12.7,1,NA,0,0
103,red maple,17.7,1,NA,0,0
103,red maple,18.5,1,NA,0,0
103,red maple,19,1,NA,0,0
103,red maple,19.2,1,NA,0,0
103,red maple,21.7,1,NA,0,0
103,red oak,25.2,1,NA,0,0
103,white pine,2.9,1,0,0,0
103,white pine,3,1,0,0,0
103,white pine,3.4,1,0,0,0
103,white pine,3.8,1,0,0,0
103,white pine,3.9,1,0,0,0
103,white pine,4.3,1,0,0,0
103,white pine,4.7,1,0,0,0
103,white pine,4.8,1,0,0,0
103,white pine,5.1,1,0,0,0
103,white pine,5.3,1,1,0,0
103,white pine,5.8,1,0,0,0
103,white pine,6.4,1,0,0,0
105,black birch,NA,14,0,0,0
105,winterberry,NA,5,0,0,0
105,high bush blueberry,NA,1,0,0,0
105,black birch,6.2,1,0,0,0
105,black birch,7.5,1,0,0,0
105,black birch,10.2,1,NA,0,0
105,black birch,12.3,1,NA,0,0
105,red maple,10.5,1,NA,0,0
105,red maple,24.4,1,NA,0,0
105,red maple,26.8,1,NA,0,0
105,red maple,27.9,1,0,0,0
105,red maple,29,1,NA,0,0
105,red maple,35.9,1,NA,0,0
105,white ash,8,1,NA,0,0
107,white pine,NA,3,0,0,0
107,red maple,NA,1,1,0,0
107,black birch,7.3,1,0,0,0
107,black oak,15.6,1,0,0,0
107,black oak,24.8,1,0,0,0
107,red maple,6.3,1,0,0,0
107,red maple,6.9,1,NA,0,0
107,red oak,9,1,NA,0,0
107,red oak,13.1,1,NA,0,0
107,red oak,15.4,1,NA,0,0
107,red oak,15.7,1,0,0,0
107,red oak,17.8,1,NA,0,0
107,red oak,20.2,1,NA,0,0
107,red oak,25.2,1,NA,0,0
107,red oak,28.7,1,NA,0,0
107,white oak,13.4,1,0,0,0
108,black oak,50.3,1,NA,0,0
108,red maple,30.1,1,NA,0,0
108,red maple,30.5,1,NA,0,0
108,red maple,16.4,1,NA,0,0
108,red maple,5.8,1,1,0,0
108,red maple,27.3,1,NA,0,0
108,red maple,17.8,1,NA,0,0
108,red oak,37.8,1,NA,0,0
