"","plot","browse_index","lat","elev_m","dist_h2o_m","hilltop","swamp","wetland_forest","tall_shrubs","dist_conifer_m","hemlock_ba","sugar_maple_ba","red_maple_ba","spruce_fir_ba","oak_ba","white_pine_ba","harvest_intensity_m2.ha","watershed","deer_density","harvest","dist_dev_m"
"111",448,16.42561983,4688787,300,356,TRUE,FALSE,FALSE,1,1070,0,0,19,0,80,0.3,82,"Quabbin",NA,TRUE,585
"112",449,45.55785124,4706448,271,630,TRUE,FALSE,FALSE,1,520,0,0,27,0,28,38,48.9,"Quabbin",4.8,TRUE,714
"113",452,48.86363636,4709801,166,161,FALSE,FALSE,FALSE,20,16,15,0,50,0,0,21,0,"Quabbin",1.9,FALSE,109
"114",453,0,4699668,277,43,FALSE,FALSE,FALSE,1,107,0,58,12,0,0,0,NA,"Quabbin",1.2,TRUE,1000
"115",455,107.231405,4696492,268,310,FALSE,FALSE,FALSE,4,155,0,77,0.1,0,0.2,0,161.3,"Quabbin",1.2,TRUE,414
"116",462,116.0123967,4701282.239,268,55,FALSE,FALSE,FALSE,25,0,5,0,65,0,0.8,23,0,"Ware River",NA,FALSE,646
"117",464,88.32644628,4699717,248,0,FALSE,TRUE,TRUE,21,0,14,0,18,24,0,43,0,"Ware River",NA,FALSE,1000
"118",465,0,4695212,180,190,FALSE,FALSE,FALSE,0,29,51,0,0,0,48,0,84.2,"Quabbin",4.7,TRUE,1000
"119",473,0,4705153,273,61,FALSE,FALSE,FALSE,6,0,7,0,26,63,0,3,0,"Ware River",NA,FALSE,298
"120",474,0,4705763,276,210,FALSE,FALSE,FALSE,13,28,21,0,24,24,0,31,0,"Ware River",NA,FALSE,695
"121",476,0,4700145,250,211,FALSE,FALSE,FALSE,0,77,0,71,0,0,0,3,NA,"Quabbin",1.2,TRUE,1000
"122",477,44.73140496,4704174,293,323,FALSE,FALSE,FALSE,3,293,0,37,0.7,0,0,0,83,"Quabbin",1.9,TRUE,313
"123",480,39.5661157,4691948,241,67,FALSE,FALSE,FALSE,1,87,0,65,0.06,0,0,2,18.3,"Quabbin",3,TRUE,779
"124",481,10.74380165,4693448,226,195,FALSE,FALSE,FALSE,0,0,93,0,5,0,0,0,63.2,"Quabbin",3,TRUE,1000
"125",482,80.16528926,4696392,253,349,FALSE,FALSE,FALSE,0,231,0,96,0,0,0,2,NA,"Quabbin",NA,TRUE,1000
"126",483,30.06198347,4700247,238,95,FALSE,FALSE,FALSE,0,9,72,0,1,0,0,26,NA,"Quabbin",NA,TRUE,1000
"127",484,39.87603306,4697674,241,307,FALSE,FALSE,FALSE,3,270,0.09,0,11,0,2,69,63.1,"Quabbin",3,TRUE,1000
"128",485,0,4697041,259,52,FALSE,FALSE,FALSE,3,176,72,0,14,0,5,0.3,NA,"Quabbin",3,TRUE,860
"129",487,6.508264463,4707849,176,161,FALSE,FALSE,FALSE,0,111,0,2,34,0,4,59,0,"Quabbin",1.9,FALSE,1000
"130",488,0,4705894,173,202,FALSE,FALSE,FALSE,0,245,0,90,0,0,0.2,0.5,NA,"Quabbin",1.9,TRUE,1000
